PC	H	varH	pvalNorm	signal	omega	R2	Ratio	dataset	gwas	contrasts
27	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	-2.57286274140712e-05	0.750110435968956	0.88372790390606	HGDP1KG	e50	sas-afr
28	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	0.00148112707164786	0.751218344546383	0.885033164675541	HGDP1KG	e50	sas-afr
29	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	0.000909587661032034	0.751636182948611	0.885525432797228	HGDP1KG	e50	sas-afr
30	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	-0.000467867211085516	0.7517467361804	0.885655678919818	HGDP1KG	e50	sas-afr
31	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	-0.000354715028400362	0.751810280533881	0.885730542454058	HGDP1KG	e50	sas-afr
32	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	0.000110059804587129	0.751816397698225	0.8857377492713	HGDP1KG	e50	sas-afr
33	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	8.15547803737562e-06	0.751816431254881	0.885737788805416	HGDP1KG	e50	sas-afr
34	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	0.000127720321181841	0.751824669892402	0.88574749499469	HGDP1KG	e50	sas-afr
35	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	0.000614080261196816	0.752015116741158	0.885971866215761	HGDP1KG	e50	sas-afr
36	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	4.84807691909814e-05	0.752016303523787	0.885973264400448	HGDP1KG	e50	sas-afr
37	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	0.00114533195325431	0.752678815479596	0.886753789872359	HGDP1KG	e50	sas-afr
38	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	-0.000218970729283146	0.75270303147044	0.886782319467206	HGDP1KG	e50	sas-afr
39	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	1.98591330757298e-05	0.752703230572709	0.886782554035641	HGDP1KG	e50	sas-afr
40	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	-0.00071682388859506	0.752962736394519	0.887088285731886	HGDP1KG	e50	sas-afr
1	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	0.00293139468581639	0.0022279655604902	0.0030145346569799	HGDP1KG	e50	sas-amr
2	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	0.0183080133011059	0.0891324751337671	0.120600129606143	HGDP1KG	e50	sas-amr
3	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	-0.0188077120350165	0.180845672952347	0.244692089656788	HGDP1KG	e50	sas-amr
4	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	0.038251100161656	0.560202351476434	0.757978235119481	HGDP1KG	e50	sas-amr
5	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	-0.0014675376959978	0.560760750151745	0.758733772902016	HGDP1KG	e50	sas-amr
6	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	-0.00995481903695027	0.586454397182213	0.793498398895837	HGDP1KG	e50	sas-amr
7	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	0.000289883514679135	0.58647618469979	0.793527878358171	HGDP1KG	e50	sas-amr
8	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	-0.0058329771413994	0.59529761843695	0.805463663271772	HGDP1KG	e50	sas-amr
9	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	0.000835364934241687	0.595478549627751	0.805708471070811	HGDP1KG	e50	sas-amr
10	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	-0.000963247115957951	0.595719115029512	0.806033966560391	HGDP1KG	e50	sas-amr
11	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	0.0012527339249298	0.596126003992822	0.80658450508899	HGDP1KG	e50	sas-amr
12	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	-1.20695877446107e-05	0.59612604179493	0.806584556236892	HGDP1KG	e50	sas-amr
13	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	0.000137756486772537	0.596130961897756	0.806591213350784	HGDP1KG	e50	sas-amr
14	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	-0.000495489355829034	0.596194615887924	0.806677339978063	HGDP1KG	e50	sas-amr
15	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	0.000545044521846963	0.59627164029566	0.806781557363946	HGDP1KG	e50	sas-amr
16	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	0.000631089539173842	0.596374902052098	0.806921275027919	HGDP1KG	e50	sas-amr
17	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	0.00209256863518076	0.597510227791321	0.808457420311555	HGDP1KG	e50	sas-amr
18	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	0.00282001490662027	0.599572102069939	0.811247226214057	HGDP1KG	e50	sas-amr
19	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	0.000233172300036736	0.599586198495848	0.811266299293639	HGDP1KG	e50	sas-amr
20	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	-0.000721449070759651	0.59972114919623	0.811448893482033	HGDP1KG	e50	sas-amr
21	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	-8.13116305012658e-05	0.599722863226378	0.811451212639643	HGDP1KG	e50	sas-amr
22	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	-0.0030706586343971	0.602167544495106	0.814758973109795	HGDP1KG	e50	sas-amr
23	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	-0.000519546789501934	0.602237529945935	0.814853666479724	HGDP1KG	e50	sas-amr
24	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	0.000202262095654798	0.602248136876636	0.814868018119969	HGDP1KG	e50	sas-amr
25	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	5.03239581279496e-05	0.602248793477428	0.814868906529502	HGDP1KG	e50	sas-amr
26	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	0.000262394058395626	0.60226664484112	0.814893060203813	HGDP1KG	e50	sas-amr
27	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	0.000355053248867636	0.60229932932155	0.814937283732556	HGDP1KG	e50	sas-amr
28	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	-0.000857588502270989	0.602490015140116	0.815195289968763	HGDP1KG	e50	sas-amr
29	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	-0.00101907485975921	0.602759275501311	0.81555961099103	HGDP1KG	e50	sas-amr
30	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	-0.000763107537310229	0.60291025983528	0.815763899385556	HGDP1KG	e50	sas-amr
31	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	-0.000403433251732788	0.602952458807916	0.815820996437572	HGDP1KG	e50	sas-amr
32	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	0.00136300055181283	0.603434128129727	0.816472716055484	HGDP1KG	e50	sas-amr
33	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	-0.00171232912555203	0.60419433723663	0.817501312161255	HGDP1KG	e50	sas-amr
34	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	-4.05521408220378e-05	0.604194763686818	0.817501889166974	HGDP1KG	e50	sas-amr
35	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	-0.000216289017112365	0.604206892675915	0.817518300218669	HGDP1KG	e50	sas-amr
36	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	-0.000751532261983804	0.604353331657902	0.817716438553552	HGDP1KG	e50	sas-amr
37	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	2.22639924780174e-05	0.604353460184405	0.81771661245552	HGDP1KG	e50	sas-amr
38	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	-0.000497008723768582	0.6044175050447	0.817803267947143	HGDP1KG	e50	sas-amr
39	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	6.92670282196636e-05	0.604418748986239	0.817804951054345	HGDP1KG	e50	sas-amr
40	8.70184262341042e-05	3.96373191570416e-12	3.02139937579251e-260	0.739074455598489	-0.000937662712577005	0.604646704512323	0.818113384831695	HGDP1KG	e50	sas-amr
1	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	0.0367458421275648	0.704290098701412	0.827516540936953	HGDP1KG	e50	afr-amr
2	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	0.00508831332601267	0.717794725213672	0.843384010660972	HGDP1KG	e50	afr-amr
3	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	0.00115666305925287	0.718492555653992	0.844203937326416	HGDP1KG	e50	afr-amr
4	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	0.006640036370866	0.741489829124565	0.871224939365831	HGDP1KG	e50	afr-amr
5	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-0.00185510670134306	0.74328489877554	0.873334084206934	HGDP1KG	e50	afr-amr
6	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-0.00197658029151928	0.745322708068512	0.875728439743549	HGDP1KG	e50	afr-amr
7	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	0.000875663206571846	0.745722658875872	0.876198368128545	HGDP1KG	e50	afr-amr
8	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-0.000210607925731385	0.745745793431415	0.876225550432278	HGDP1KG	e50	afr-amr
9	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-0.000800389414753179	0.74607995338125	0.876618176831992	HGDP1KG	e50	afr-amr
10	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	-0.000219064899342655	0.746104983562236	0.876647586430148	HGDP1KG	e50	afr-amr
11	0.000154984789105589	8.94862556205441e-12	0	0.851088847002359	0.000344027615888153	0.746166719677064	0.876720124232806	HGDP1KG	e50	afr-amr
