PC	H	varH	signal	B	pvalB	lcB	ucB	B2	R2	pvalR2	lcR2	ucR2	Ratio	lcRatio	ucRatio	dataset	gwas	contrasts
26	0.000249215416657905	2.37637974835628e-10	0.91499960517036	-0.0718639427818173	0.108498130433713	-0.159678364169958	0.015950478606323	0.00516442627214831	0.823417880138281	6.9419824676699e-160			0.899910639835711			HGDP1KG	e200_500	eur-lat
27	0.000249215416657905	2.37637974835628e-10	0.91499960517036	-0.039687306855787	0.375853087951254	-0.127660001820363	0.048285388108789	0.00157508232546539	0.824992957324944	7.98683314619809e-160			0.901632036410925			HGDP1KG	e200_500	eur-lat
28	0.000249215416657905	2.37637974835628e-10	0.91499960517036	-0.00645415874550261	0.8855323226857	-0.0944943840135427	0.0815860665225375	4.16561651121478e-05	0.825034613788385	6.9303435225028e-159			0.901677562620122			HGDP1KG	e200_500	eur-lat
29	0.000249215416657905	2.37637974835628e-10	0.91499960517036	0.0784684758965852	0.0796156515624025	-0.00930211385271028	0.166239065645881	0.00615730170953298	0.831191911677083	1.51981602553067e-161			0.908406852833916			HGDP1KG	e200_500	eur-lat
30	0.000249215416657905	2.37637974835628e-10	0.91499960517036	-0.0206254999051799	0.645448164876309	-0.108648829906462	0.067397830096102	0.000425411246338576	0.831617323374037	7.63992615438269e-161			0.908871783850881			HGDP1KG	e200_500	eur-lat
31	0.000249215416657905	2.37637974835628e-10	0.91499960517036	0.0145633256143263	0.745296086959268	-0.0734693964849003	0.102596047713553	0.000212090452948893	0.831829414065661	5.06396873501527e-160			0.909103577056501			HGDP1KG	e200_500	eur-lat
32	0.000249215416657905	2.37637974835628e-10	0.91499960517036	0.0409953621723606	0.360310069234073	-0.0469726831414588	0.12896340748618	0.00168061971964301	0.833510035858289	4.360824735161e-160			0.910940322977627			HGDP1KG	e200_500	eur-lat
33	0.000249215416657905	2.37637974835628e-10	0.91499960517036	0.00394629792233596	0.929859677023658	-0.084095075558147	0.0919876714028189	1.55732672918331e-05	0.833525609198273	3.68041953736025e-159			0.910957343028669			HGDP1KG	e200_500	eur-lat
34	0.000249215416657905	2.37637974835628e-10	0.91499960517036	0.101728297640028	0.0229104293097712	0.0141429814210254	0.18931361385903	0.0103486465407381	0.843874259818098	1.25656562850601e-164			0.92226734858643			HGDP1KG	e200_500	eur-lat
35	0.000249215416657905	2.37637974835628e-10	0.91499960517036	0.036323269436085	0.417682973416556	-0.0516606899664958	0.124307228838666	0.00131937990252643	0.845193640063808	1.56041087753882e-164			0.923709294832367			HGDP1KG	e200_500	eur-lat
36	0.000249215416657905	2.37637974835628e-10	0.91499960517036	0.0265424480006609	0.553766197712673	-0.0614685926863238	0.114553488687646	0.000704501545867786	0.845898142198944	4.72176709780842e-164			0.92447924285328			HGDP1KG	e200_500	eur-lat
37	0.000249215416657905	2.37637974835628e-10	0.91499960517036	0.117283505592429	0.00866387515288461	0.0298490711062418	0.204717940078616	0.0137554206840493	0.859653553654832	2.20704362570735e-172			0.939512485904053			HGDP1KG	e200_500	eur-lat
38	0.000249215416657905	2.37637974835628e-10	0.91499960517036	0.00978167625047276	0.827286757673408	-0.0782561706986806	0.0978195231996261	9.56811902690629e-05	0.859749234893439	1.66541919600586e-171			0.939617055608855			HGDP1KG	e200_500	eur-lat
39	0.000249215416657905	2.37637974835628e-10	0.91499960517036	-0.00996860457447076	0.824039566984926	-0.0980062889950366	0.078069079846095	9.93730771621593e-05	0.859848607962225	1.23196863999457e-170			0.939725660102479			HGDP1KG	e200_500	eur-lat
40	0.000249215416657905	2.37637974835628e-10	0.91499960517036	0.0886062169054119	0.0476773962329857	0.00091045071967201	0.176301983091152	0.00785106167428889	0.867699669685501	2.25057032349054e-175			0.948306059130974			HGDP1KG	e200_500	eur-lat
1	0.000715908946855929	3.52172970487793e-09	0.972534837728135	0.458413265568511	2.38919617219969e-27	0.380166840798179	0.536659690338842	0.210142722049186	0.210142722049186	2.38919617219964e-27			0.216077320726201			HGDP1KG	e200_500	eur-long
