PC	H	varH	signal	B	lcB	ucB	B2	R2	lcR2	ucR2	Ratio	lcRatio	ucRatio	dataset	gwas	contrasts
13	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	-0.00500600950268736	-0.0112040191641851	0.00119200015881039	2.50601311409961e-05	0.56427359918057			0.78398001978354			InUKBB	e10	NorthernIreland-Wales
14	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	-0.00466922843474633	-0.0108672481944008	0.00152879132490816	2.18016941758436e-05	0.564295400957539			0.784010310333309			InUKBB	e10	NorthernIreland-Wales
15	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	-0.00494861536268167	-0.0111466267948001	0.00124939606943674	2.4488794007769e-05	0.564319889714152			0.784044334069173			InUKBB	e10	NorthernIreland-Wales
16	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	0.00107150108925631	-0.00512658267711034	0.00726958485562297	1.14811458427746e-06	0.564321037830439			0.784045929217752			InUKBB	e10	NorthernIreland-Wales
17	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	-0.00919638120457712	-0.0153942064267164	-0.0029985559824378	8.45734272598994e-05	0.564405611354093			0.784163432416277			InUKBB	e10	NorthernIreland-Wales
18	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	-0.00753407890361116	-0.0137319903165544	-0.00133616749066787	5.67623449258387e-05	0.564462373760645			0.784242295919152			InUKBB	e10	NorthernIreland-Wales
19	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	-0.00351103284835912	-0.00970908196966524	0.00268701627294701	1.23273516622567e-05	0.564474701156452			0.784259423128405			InUKBB	e10	NorthernIreland-Wales
20	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	0.00376223264744013	-0.002435810811743	0.00996027610662327	1.41543944934644e-05	0.564488855513969			0.784279088647938			InUKBB	e10	NorthernIreland-Wales
21	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	0.00784542167893828	0.00164752510557353	0.014043318252303	6.15506413203548e-05	0.564550406190051			0.784364604788197			InUKBB	e10	NorthernIreland-Wales
22	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	0.00677772455213154	0.000579779591815128	0.0129756695124479	4.59375501045667e-05	0.564596343804462			0.784428428741519			InUKBB	e10	NorthernIreland-Wales
23	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	0.00440478266406631	-0.00179324453207993	0.0106028098602125	1.94021103176591e-05	0.564615745890212			0.784455385252673			InUKBB	e10	NorthernIreland-Wales
24	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	-0.00923299309927455	-0.015430816230294	-0.0030351699682551	8.52481615712514e-05	0.564700993988522			0.784573825679261			InUKBB	e10	NorthernIreland-Wales
25	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	0.00179763886497944	-0.00440043844486077	0.00799571617481965	3.23150548888457e-06	0.564704225498739			0.784578315415176			InUKBB	e10	NorthernIreland-Wales
26	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	-0.000433957188023296	-0.00663204392883986	0.00576412955279327	1.88318841037086e-07	0.564704413816759			0.784578577056984			InUKBB	e10	NorthernIreland-Wales
27	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	-0.000481835279411355	-0.00667992188434601	0.0057162513255233	2.32165236485418e-07	0.564704645978374			0.784578899613396			InUKBB	e10	NorthernIreland-Wales
28	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	-0.00562552317484716	-0.0118235124245768	0.000572466074882491	3.16465109907424e-05	0.564736292462815			0.784622868020805			InUKBB	e10	NorthernIreland-Wales
29	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	0.00524934317431668	-0.000948658753500736	0.0114473451021341	2.75556037617451e-05	0.564763848053964			0.78466115269853			InUKBB	e10	NorthernIreland-Wales
30	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	-0.000590278673870737	-0.00678836491849913	0.00560780757075766	3.48428912826596e-07	0.564764196480971			0.784661636789603			InUKBB	e10	NorthernIreland-Wales
31	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	-0.00852592526650014	-0.0147237873130035	-0.00232806321999684	7.26914016499455e-05	0.564836887907436			0.784762631459637			InUKBB	e10	NorthernIreland-Wales
32	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	0.00336540543608992	-0.00283264678861042	0.00956345766079025	1.13259537492636e-05	0.564848213850588			0.784778367289117			InUKBB	e10	NorthernIreland-Wales
33	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	0.00902344866548075	0.00282561367846495	0.0152212836524966	8.14226258185664e-05	0.56492963649799			0.784891492781455			InUKBB	e10	NorthernIreland-Wales
34	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	-0.00234729837924175	-0.00854536862850236	0.00385077187001886	5.50980968119095e-06	0.56493514629227			0.784899147877555			InUKBB	e10	NorthernIreland-Wales
35	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	0.00121100131112047	-0.00498708146848032	0.00740908409072125	1.46652417553549e-06	0.5649366128006			0.784901185387783			InUKBB	e10	NorthernIreland-Wales
36	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	0.00388380654239806	-0.00231423403602082	0.0100818471208169	1.5083953258774e-05	0.564951696777221			0.784922142484317			InUKBB	e10	NorthernIreland-Wales
37	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	0.000313835168819374	-0.00588425185037292	0.00651192218801167	9.8492513187885e-08	0.564951795269497			0.784922279325695			InUKBB	e10	NorthernIreland-Wales
38	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	0.00527699544645338	-0.000921005579290645	0.0114749964721974	2.78466809418897e-05	0.564979641995213			0.784960968494582			InUKBB	e10	NorthernIreland-Wales
39	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	0.0107517245431653	0.00455399547724208	0.0169494536090885	0.000115599580652103	0.565095241543705			0.785121578057825			InUKBB	e10	NorthernIreland-Wales
40	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	0.00171194737183628	-0.00448613087001698	0.00791002561368953	2.93076380393714e-06	0.565098172321559			0.785125649967769			InUKBB	e10	NorthernIreland-Wales
1	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	0.712053016585191	0.707701180170753	0.716404852999629	0.50701949842807	0.50701949842807			0.680868068668724			InUKBB	e10	RepublicOfIrelend-Scotland
2	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	-0.198212112782576	-0.204287224783004	-0.192137000782148	0.0392880416537327	0.546307540429759			0.73362732814967			InUKBB	e10	RepublicOfIrelend-Scotland
3	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	-0.0272077855408376	-0.0334035783313445	-0.0210119927503308	0.000740263594036212	0.547047804149603			0.73462141601177			InUKBB	e10	RepublicOfIrelend-Scotland
4	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	0.0467368964154233	0.0405455821489253	0.0529282106819214	0.00218433748654601	0.54923214155774			0.737554726460402			InUKBB	e10	RepublicOfIrelend-Scotland
5	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	0.122238366930253	0.116086760478243	0.128389973382263	0.0149422183497752	0.564174360291456			0.757620383979281			InUKBB	e10	RepublicOfIrelend-Scotland
6	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	-0.121006974871114	-0.127159516523584	-0.114854433218643	0.0146426879674584	0.578817049440412			0.777283808190529			InUKBB	e10	RepublicOfIrelend-Scotland
7	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	-0.0483601883557682	-0.0545510236799932	-0.0421693530315432	0.00233870781780538	0.581155756431221			0.780424418989426			InUKBB	e10	RepublicOfIrelend-Scotland
8	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	-0.01805940701753	-0.0242564835306696	-0.0118623305043904	0.000326142181824812	0.581481898658332			0.780862389972737			InUKBB	e10	RepublicOfIrelend-Scotland
9	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	-0.00599354694927728	-0.0121915229469809	0.000204429048426374	3.59226050331909e-05	0.581517821322757			0.78091062992253			InUKBB	e10	RepublicOfIrelend-Scotland
10	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	0.0148930272274116	0.00869562731599435	0.0210904271388288	0.000221802259996423	0.581739623642627			0.781208484576295			InUKBB	e10	RepublicOfIrelend-Scotland
11	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	0.0256247120562422	0.0194286599782055	0.0318207641342788	0.000656625867965322	0.582396249694811			0.782090256802756			InUKBB	e10	RepublicOfIrelend-Scotland
12	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	-0.000625537417464996	-0.0068236235292431	0.00557254869431311	3.91297060648777e-07	0.582396640997925			0.782090782277213			InUKBB	e10	RepublicOfIrelend-Scotland
13	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	-0.0133680476034202	-0.0195655810894429	-0.00717051411739762	0.00017870469672731	0.582575345712448			0.782330761872113			InUKBB	e10	RepublicOfIrelend-Scotland
14	7.60928763338203e-05	5.02323142980459e-12	0.744666289637325	0.00666116700989505	0.000463217195114116	0.012859116824676	4.43711459337141e-05	0.582619716783108			0.782390347046409			InUKBB	e10	RepublicOfIrelend-Scotland
