#FID	IID	SEX
5355822	5355822	2
4069077	4069077	2
2538089	2538089	2
1129589	1129589	1
5284334	5284334	2
5776893	5776893	1
1053346	1053346	2
1828811	1828811	2
1671638	1671638	1
3959358	3959358	1
1818567	1818567	2
2327688	2327688	2
2422708	2422708	2
5464424	5464424	1
5588561	5588561	1
3577670	3577670	2
5945487	5945487	1
4935708	4935708	2
5197834	5197834	2
4088627	4088627	1
4843052	4843052	2
4834722	4834722	2
4046276	4046276	1
4403926	4403926	2
3069997	3069997	1
4451928	4451928	1
5942467	5942467	2
3030072	3030072	1
2467806	2467806	2
5143841	5143841	2
1877215	1877215	2
5136841	5136841	2
1094866	1094866	1
2865771	2865771	1
1898700	1898700	1
3320037	3320037	1
2715256	2715256	2
5188037	5188037	1
3448192	3448192	1
5089946	5089946	2
3288305	3288305	1
4259143	4259143	1
4584102	4584102	1
1739267	1739267	2
4710616	4710616	2
4891021	4891021	2
2982911	2982911	2
3974882	3974882	1
2851678	2851678	2
5698365	5698365	2
1992924	1992924	2
4328803	4328803	1
5471311	5471311	2
1168111	1168111	1
4416825	4416825	1
2206342	2206342	2
1496913	1496913	2
4498160	4498160	1
5186896	5186896	1
4957751	4957751	2
5441979	5441979	2
3108472	3108472	1
5520496	5520496	1
4701868	4701868	2
5559231	5559231	1
2132076	2132076	1
3035747	3035747	2
6004522	6004522	2
2890161	2890161	2
5420907	5420907	1
1200074	1200074	1
2355012	2355012	1
1667031	1667031	1
2581452	2581452	2
1804618	1804618	2
4412150	4412150	2
2549693	2549693	2
4411160	4411160	1
3852948	3852948	2
1555739	1555739	2
4839493	4839493	2
3010567	3010567	1
4460175	4460175	2
2443096	2443096	1
3934204	3934204	2
5449129	5449129	2
1367194	1367194	2
3108411	3108411	2
4211644	4211644	1
5504186	5504186	1
5755657	5755657	2
2145086	2145086	1
2745056	2745056	1
2973663	2973663	1
4722352	4722352	1
5127353	5127353	2
3997061	3997061	1
4217001	4217001	1
2897616	2897616	1
5554700	5554700	1
3984612	3984612	2
3485784	3485784	2
1273098	1273098	2
4174867	4174867	2
1693470	1693470	2
4941199	4941199	2
5529116	5529116	2
1696247	1696247	2
3176822	3176822	2
3421711	3421711	2
4256786	4256786	2
4173253	4173253	2
4710698	4710698	1
3342295	3342295	2
4105770	4105770	2
3436387	3436387	1
2963552	2963552	2
3951704	3951704	1
2374579	2374579	2
1238518	1238518	1
5399959	5399959	1
1129499	1129499	1
5404561	5404561	1
3044168	3044168	2
5404820	5404820	2
1485266	1485266	2
1053670	1053670	2
5216440	5216440	2
3143433	3143433	2
1301655	1301655	1
4472241	4472241	1
2841365	2841365	1
3955826	3955826	2
4628785	4628785	1
3330770	3330770	1
2671157	2671157	2
2702966	2702966	2
2137987	2137987	2
1631655	1631655	2
1619618	1619618	1
1500807	1500807	1
3826318	3826318	2
5212429	5212429	2
3316041	3316041	1
3744625	3744625	2
5759150	5759150	1
3048182	3048182	2
4469300	4469300	1
3679891	3679891	1
5967916	5967916	1
4974948	4974948	2
5037436	5037436	2
1775859	1775859	2
2705584	2705584	2
5961594	5961594	2
2221942	2221942	2
2899481	2899481	1
3271978	3271978	2
5184785	5184785	1
3265117	3265117	2
1445203	1445203	2
5469728	5469728	1
2743997	2743997	1
2749686	2749686	2
2328531	2328531	2
