H	L	varH	pvalNorm	sigma2r	sigma2F	N	dataset	gwas	contrasts
1.26212217662659e-05	109284	2.3300403758989e-13	3.23450346755704e-13	0.0866486044836971	0.000145659838856846	1692	HGDP1KG	e10	nfe-afr
1.29726356293415e-05	109284	2.40076526245013e-13	3.07778012537618e-15	0.0232112418977822	0.000558894508379623	1241	HGDP1KG	e10	nfe-amr
1.22356578330847e-05	109284	2.21822305036093e-13	2.86593340826334e-11	0.075747941350078	0.000161531225997762	1793	HGDP1KG	e10	sas-afr
1.24735230480248e-05	109284	2.24870552173415e-13	1.21197540643956e-12	0.0223791753672918	0.000557371880031622	1342	HGDP1KG	e10	sas-amr
1.22081627837573e-05	109284	2.27600023385468e-13	7.3115517727798e-11	0.0803105458426346	0.000152011951303117	1555	HGDP1KG	e10	afr-amr
1.17974801277326e-05	109506	2.56870985413725e-13	7.22878369860038e-08	0.00312003208842253	0.003781204741935	689	HGDP1KG	e50	sdi-eur
1.03648498109306e-05	112911	2.45532752122604e-13	0.00116746060849808	0.0147224178228062	0.00070401818068732	2224	HGDP1KG	e50	eurasia-lat
1.28832360167536e-05	112911	2.42817658256111e-13	1.52106928718563e-16	0.042299185443006	0.00030457409242815	2224	HGDP1KG	e50	eurasia-long
9.50636382854426e-06	136691	2.0624227575218e-13	7.04887035329498e-07	0.00456507985034115	0.00208240910130715	510	HGDP1KG	e50	eur-lat
8.89076542906198e-06	136691	1.47384830823602e-13	2.04320318991259e-05	0.00416567682599981	0.00213429072883687	510	HGDP1KG	e50	eur-long
1.37757222676719e-05	109506	2.45480355318949e-13	3.53454187142722e-21	0.0716001959651672	0.000192397829111719	1514	HGDP1KG	e50	eas-nfe
1.55217678163299e-05	109506	2.3584733628043e-13	7.69989124153088e-40	0.0494726965797475	0.000313744123312738	1615	HGDP1KG	e50	eas-sas
1.1318493589867e-05	109506	2.07983490688501e-13	8.15117958221883e-07	0.0894055305625462	0.000126597242012325	1828	HGDP1KG	e50	eas-afr
1.45429457231334e-05	109506	2.31038794980797e-13	1.06503654699175e-29	0.056514973031235	0.000257329074811657	1377	HGDP1KG	e50	eas-amr
1.05082824784134e-05	109506	2.87884921924339e-13	0.00515562217295962	0.0241412176435592	0.000435283863207163	1479	HGDP1KG	e50	nfe-sas
1.02602993318683e-05	109506	2.38616451946366e-13	0.0104450986691131	0.0866849855572077	0.000118363050601157	1692	HGDP1KG	e50	nfe-afr
1.13339774098825e-05	109506	2.45527718113398e-13	4.41416005159018e-06	0.0232821152999308	0.000486810466483526	1241	HGDP1KG	e50	nfe-amr
1.01495242306683e-05	109506	2.255850693864e-13	0.0160760355166245	0.0757437122996723	0.000133998241207307	1793	HGDP1KG	e50	sas-afr
1.06656819462859e-05	109506	2.23685375096221e-13	0.000591510473515789	0.0224106892433793	0.000475919407495994	1342	HGDP1KG	e50	sas-amr
1.06207021787622e-05	109506	2.31418102783101e-13	0.000984728421159744	0.0802954576284302	0.000132270273966304	1555	HGDP1KG	e50	afr-amr
1.10602795876386e-05	110766	2.35290289168735e-13	1.39722651496343e-05	0.00323261522170585	0.00342146492207697	689	HGDP1KG	e200	sdi-eur
8.60846268614674e-06	113925	2.42372874776734e-13	0.634489780275572	0.0148212538044376	0.000580818788999436	2224	HGDP1KG	e200	eurasia-lat
9.20721597787463e-06	113925	2.34272846066321e-13	0.18743495827251	0.0426370818250538	0.000215943858814099	2224	HGDP1KG	e200	eurasia-long
8.92704401354497e-06	137497	1.92172850410152e-13	8.05240984451659e-05	0.00466409442797747	0.00191399298436076	510	HGDP1KG	e200	eur-lat
8.2479782402031e-06	137497	1.37290251158669e-13	0.0042487385199767	0.00435841927028725	0.00189242423197608	510	HGDP1KG	e200	eur-long
9.53023814684809e-06	110766	2.32652902728067e-13	0.14889928789585	0.0721943754934384	0.000132008041924461	1514	HGDP1KG	e200	eas-nfe
1.00246244929839e-05	110766	2.19363762635597e-13	0.0166767534502205	0.0496971439094293	0.000201714297933364	1615	HGDP1KG	e200	eas-sas
8.61434276699857e-06	110766	2.09136700271811e-13	0.81716798716069	0.0892780936762124	9.64888743955541e-05	1828	HGDP1KG	e200	eas-afr
1.01391172307402e-05	110766	2.17194547527896e-13	0.00856112690359661	0.0567738687118551	0.00017858774574971	1377	HGDP1KG	e200	eas-amr
8.52500278985756e-06	110766	2.79778141084011e-13	0.829205398882307	0.0246323863395776	0.000346089196244871	1479	HGDP1KG	e200	nfe-sas
8.36000976062594e-06	110766	2.51845788958525e-13	0.908431426016343	0.0870689901611375	9.60159265101636e-05	1692	HGDP1KG	e200	nfe-afr
9.65152414408223e-06	110766	2.38093140162462e-13	0.10066603479283	0.0237860523604046	0.000405764016569165	1241	HGDP1KG	e200	nfe-amr
8.5555618102453e-06	110766	2.35975858273635e-13	0.834632124040263	0.0758584640670038	0.000112783219584942	1793	HGDP1KG	e200	sas-afr
9.56465779463539e-06	110766	2.12987172233399e-13	0.122464870595757	0.0226033936807794	0.000423151405037404	1342	HGDP1KG	e200	sas-amr
8.9385657460656e-06	110766	2.39939670469488e-13	0.572469070687452	0.0803576954818147	0.000111234719866854	1555	HGDP1KG	e200	afr-amr
